method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
pooled_policy_logdet,0.1,0.44125,0.6174999999999999,0.023907151367670038,0.01411195078745728,0.02776146684785052,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9800985279081434,True
pooled_policy_logdet,0.1,0.44125,0.67625,0.027924734781771838,0.008935416114584729,0.02931948965744592,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9862842362500419,True
pooled_policy_logdet,0.1,0.44125,0.735,0.03194231819587363,0.0035939388454101534,0.03214386548240562,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9899815767088811,True
pooled_policy_logdet,0.1,0.44125,0.79375,0.03595990160997541,-0.0012010141732692677,0.03597995217956113,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9923646330095294,True
pooled_policy_logdet,0.1,0.44125,0.8525,0.03997748502407722,-0.00459604421107789,0.04024081176169911,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.993989262477198,True
pooled_policy_logdet,0.1,0.44125,0.91125,0.043995068438179,-0.0055958206540615086,0.044349512462624384,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9951459727151436,True
pooled_policy_logdet,0.1,0.44125,0.97,0.04801265185228079,-0.0030630810046874957,0.048110260892346025,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9959984982038497,True
pooled_policy_logdet,0.1,0.5,0.03,-0.020026041666666668,0.0017785556250000001,0.020104865205872152,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9855882701316947,True
pooled_policy_logdet,0.1,0.5,0.08875,-0.015895182291666664,0.006466644801177977,0.017160253933724747,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9794541276842952,True
pooled_policy_logdet,0.1,0.5,0.1475,-0.011764322916666665,0.011935390451660156,0.016758664592418718,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9693112630432269,True
pooled_policy_logdet,0.1,0.5,0.20625,-0.007633463541666672,0.017352320194244382,0.018957130103618946,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9534499583371286,True
pooled_policy_logdet,0.1,0.5,0.265,-0.0035026041666666643,0.0220457909765625,0.022322301309019087,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9438177193255195,True
pooled_policy_logdet,0.1,0.5,0.32375,0.0006282552083333361,0.02550498907608033,0.02551272569479347,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9964081710541037,True
pooled_policy_logdet,0.1,0.5,0.38249999999999995,0.00475911458333333,0.02737993010009765,0.027790461383423077,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9529823111930227,True
pooled_policy_logdet,0.1,0.5,0.44125,0.00888997395833333,0.02748145898574829,0.02888359785354328,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9477898576230691,True
pooled_policy_logdet,0.1,0.5,0.5,0.013020833333333337,0.02578125,0.02888277951058285,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9647638212377321,True
