experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,complete_weighted_oracle,uniform,32,0.1,population_return,-0.18380545487393962,-0.18517223903382002,-0.18243867071405923,20
main,complete_weighted_oracle,uniform,32,0.1,q,-0.16631548209121388,-0.16852685863084474,-0.16410410555158303,20
main,complete_weighted_oracle,uniform,32,0.1,pi1_a0,-0.10415759612120437,-0.10470210221639839,-0.10361309002601035,20
main,uniform_action_oracle,uniform,32,0.1,population_return,-0.18014693916880792,-0.18148019314236724,-0.1788136851952486,20
main,uniform_action_oracle,uniform,32,0.1,q,-0.14712339031268404,-0.1490304177809158,-0.14521636284445227,20
main,uniform_action_oracle,uniform,32,0.1,pi1_a0,-0.11345793380766911,-0.11415853333181028,-0.11275733428352794,20
main,visitation_only_oracle,uniform,32,0.1,population_return,0.0015603201758495333,0.0014496820527037165,0.0016709582989953501,20
main,visitation_only_oracle,uniform,32,0.1,q,0.0014694684150185155,0.0013702698197285313,0.0015686670103084996,20
main,visitation_only_oracle,uniform,32,0.1,pi1_a0,0.0008007086207006076,0.000736862412603495,0.0008645548287977201,20
main,full_pooled_fisher_oracle,uniform,32,0.1,population_return,-0.17776752556511938,-0.179018483362813,-0.17651656776742575,20
main,full_pooled_fisher_oracle,uniform,32,0.1,q,-0.1433574580990994,-0.1451121662983644,-0.14160274989983437,20
main,full_pooled_fisher_oracle,uniform,32,0.1,pi1_a0,-0.112575666771163,-0.11322776354849982,-0.11192356999382617,20
main,detached_conditional_sampled,uniform,32,0.1,population_return,-0.17915307143612905,-0.18034376836474134,-0.17796237450751676,20
main,detached_conditional_sampled,uniform,32,0.1,q,-0.1581534843175254,-0.1601655190717229,-0.1561414495633279,20
main,detached_conditional_sampled,uniform,32,0.1,pi1_a0,-0.10337197612312563,-0.10384267688825326,-0.10290127535799799,20
main,detached_conditional_oracle,uniform,32,0.2,population_return,-0.35637806268782113,-0.35845679134157327,-0.354299334034069,20
main,detached_conditional_oracle,uniform,32,0.2,q,-0.35992646178431265,-0.36387171701608945,-0.35598120655253584,20
