initialization,metric,left_switch,right_switch,full_ranges_overlap,central_5_95_ranges_overlap,left_min,left_max,right_min,right_max,left_p05,left_p95,right_p05,right_p95
adverse,f0_condition,500,1000,False,False,3.9538218145041615,3.9903502832528273,4.651577141963864,4.77155759240222,3.958157637733133,3.982417097637626,4.667783413709429,4.7416878712518145
adverse,f0_eigenvalue_1,500,1000,False,False,0.34183809296923673,0.3478391497725194,0.37388526979641346,0.3878082300669372,0.3429247689048995,0.34656773488578974,0.37605707407434674,0.3839238406943419
adverse,f0_eigenvalue_2,500,1000,False,False,0.0857540948647246,0.08772243528400679,0.08007707529982312,0.08144703753094637,0.08627419216830393,0.08734444768723078,0.0804286369538812,0.08133457772382906
adverse,f1_lambda_min,500,1000,False,False,0.04189394448131745,0.04813019471680946,0.10503915278292081,0.10624111981061804,0.042856848940456646,0.046919097679750534,0.10537245905789865,0.10615823227501366
adverse,f1_lambda_max,500,1000,False,False,0.20936260686297314,0.22261812096049,0.33518553393105444,0.3486306238784435,0.21140051078107358,0.22013440483801985,0.33722778869304604,0.34561192652254896
adverse,f1_trace,500,1000,False,False,0.2512565513442906,0.27074831567729946,0.44022468671397524,0.45400702220351674,0.2542616324722477,0.2670695051409361,0.4426496382375172,0.4515248059798355
adverse,f1_logdet,500,1000,False,False,-4.736301554874319,-4.5361429875539105,-3.3464931825173245,-3.3033822754872695,-4.7037909232489294,-4.572506472282667,-3.3367726164120795,-3.307484420700659
adverse,f1_condition,500,1000,False,False,4.625331816551755,4.997443173591308,3.183344171426832,3.3084317685916815,4.6916474413921625,4.934922899428145,3.1956983667499395,3.2577413680656955
adverse,f1_eigenvalue_1,500,1000,False,False,0.20936260686297314,0.22261812096049,0.33518553393105444,0.3486306238784435,0.21140051078107358,0.22013440483801985,0.33722778869304604,0.34561192652254896
adverse,f1_eigenvalue_2,500,1000,False,False,0.04189394448131745,0.04813019471680946,0.10503915278292081,0.10624111981061804,0.042856848940456646,0.046919097679750534,0.10537245905789865,0.10615823227501366
adverse,f_pool_lambda_min,500,1000,False,False,0.007956561729472287,0.009500115816583901,0.023369267426138894,0.025996563724002497,0.008160492279896209,0.009111225897886602,0.023835043450369155,0.025335913260220718
adverse,f_pool_lambda_max,500,1000,False,False,0.277294328535458,0.27918137209627597,0.290690883886019,0.2923959752848417,0.2776284423228693,0.2787044084403751,0.29113246380974955,0.29217647758771154
adverse,f_pool_trace,500,1000,False,False,0.39512370452558543,0.4028019332557652,0.45108578640591585,0.4653638821978552,0.3961595216864564,0.400963125868308,0.45323177889701843,0.46168513677674333
adverse,f_pool_logdet,500,1000,False,False,-11.9997240628816,-11.713950585432505,-10.362952293209588,-10.126857600908739,-11.960521098826156,-11.785227924004605,-10.323636516360175,-10.18461983032389
adverse,f_pool_condition,500,1000,False,False,29.3871545869917,34.860136670928725,11.23745367807945,12.444900246872434,30.57642299432009,34.01950789873178,11.523252444063111,12.21440862236886
adverse,f_pool_eigenvalue_1,500,1000,False,False,0.277294328535458,0.27918137209627597,0.290690883886019,0.2923959752848417,0.2776284423228693,0.2787044084403751,0.29113246380974955,0.29217647758771154
adverse,f_pool_eigenvalue_2,500,1000,False,False,0.06957667831695916,0.07046709631185842,0.07460003312803663,0.08600785729870794,0.06980821536284432,0.07026981613628855,0.07597727259010291,0.08252126166246307
adverse,f_pool_eigenvalue_3,500,1000,False,False,0.03976246510020916,0.04394118794737206,0.061224280537426005,0.06249297281637497,0.040298651924679504,0.04287070641987018,0.06163559869406046,0.062382893011711855
adverse,f_pool_eigenvalue_4,500,1000,False,False,0.007956561729472287,0.009500115816583901,0.023369267426138894,0.025996563724002497,0.008160492279896209,0.009111225897886602,0.023835043450369155,0.025335913260220718
adverse,f_ref_lambda_min,500,1000,False,False,0.020946972240658723,0.02406509735840473,0.04003853764991156,0.040723518765473185,0.021428424470228323,0.023459548839875267,0.0402143184769406,0.04066728886191453
adverse,f_ref_lambda_max,500,1000,False,False,0.17091904648461836,0.1739195748862597,0.18694263489820673,0.1939041150334686,0.17146238445244974,0.17328386744289487,0.18802853703717337,0.19196192034717094
adverse,f_ref_trace,500,1000,False,False,0.3400548327576483,0.35301279077100084,0.44728022744544177,0.46154511426745104,0.3418267233942859,0.3498404059643529,0.44943968999729655,0.45829566943316496
adverse,f_ref_logdet,500,1000,False,False,-11.028775823403443,-10.80157080964703,-9.62426638980497,-9.533709035344316,-10.994800894479404,-10.850916635326199,-9.60763368636706,-9.549792844145419
adverse,f_ref_condition,500,1000,False,False,7.227046385728347,8.172899818121792,4.651577141963864,4.77155759240222,7.365497942718012,8.010853938967692,4.667783413709429,4.7416878712518145
adverse,f_ref_eigenvalue_1,500,1000,False,False,0.17091904648461836,0.1739195748862597,0.18694263489820673,0.1939041150334686,0.17146238445244974,0.17328386744289487,0.18802853703717337,0.19196192034717094
adverse,f_ref_eigenvalue_2,500,1000,False,False,0.10468130343148657,0.111309060480245,0.16759276696552722,0.17431531193922176,0.10570025539053679,0.11006720241900993,0.16861389434652302,0.17280596326127448
adverse,f_ref_eigenvalue_3,500,1000,False,False,0.0428770474323623,0.043861217642003396,0.052519576391460404,0.05312055990530902,0.04313709608415196,0.04367222384361539,0.05268622952894932,0.05307911613750683
adverse,f_ref_eigenvalue_4,500,1000,False,False,0.020946972240658723,0.02406509735840473,0.04003853764991156,0.040723518765473185,0.021428424470228323,0.023459548839875267,0.0402143184769406,0.04066728886191453
