initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,1410,population_return,0.9474891316596049,0.9473528646074063,0.9476253987118035
uniform,500,sampled,1420,population_return,0.9481558669176073,0.9480216524193008,0.9482900814159139
uniform,500,sampled,1430,population_return,0.9488020672510941,0.9486713025778948,0.9489328319242933
uniform,500,sampled,1440,population_return,0.949430269099709,0.9493022561363058,0.9495582820631121
uniform,500,sampled,1450,population_return,0.9500408156099214,0.9499160626687678,0.9501655685510749
uniform,500,sampled,1460,population_return,0.9506369752562549,0.9505143086905811,0.9507596418219287
uniform,500,sampled,1470,population_return,0.9512256492424158,0.9511061219752485,0.9513451765095832
uniform,500,sampled,1480,population_return,0.951797856170152,0.9516797419513742,0.9519159703889298
uniform,500,sampled,1490,population_return,0.9523630296690919,0.9522473319649761,0.9524787273732077
uniform,500,sampled,1500,population_return,0.952904307234521,0.9527890179578425,0.9530195965111995
uniform,500,sampled,1510,population_return,0.9534421449468469,0.953329269192827,0.9535550207008667
uniform,500,sampled,1520,population_return,0.9539590143245266,0.9538478229417784,0.9540702057072747
uniform,500,sampled,1530,population_return,0.954459703961123,0.9543502199495353,0.9545691879727107
uniform,500,sampled,1540,population_return,0.9549621930598559,0.9548534020426463,0.9550709840770654
uniform,500,sampled,1550,population_return,0.9554469479920639,0.9553407427200162,0.9555531532641115
uniform,500,sampled,1560,population_return,0.9559325862265879,0.9558283657972239,0.956036806655952
uniform,500,sampled,1570,population_return,0.956398207215595,0.9562938887413563,0.9565025256898336
uniform,500,sampled,1580,population_return,0.9568549527334289,0.9567518444985198,0.956958060968338
uniform,500,sampled,1590,population_return,0.957302746308585,0.9572006090457934,0.9574048835713767
uniform,500,sampled,1600,population_return,0.9577451719343912,0.9576445048248019,0.9578458390439806
uniform,500,sampled,1610,population_return,0.9581712074765116,0.9580734836366201,0.9582689313164031
uniform,500,sampled,1620,population_return,0.9585995180757325,0.9585033152697129,0.9586957208817521
uniform,500,sampled,1630,population_return,0.9590149029465931,0.9589210958332453,0.9591087100599409
uniform,500,sampled,1640,population_return,0.9594212185404336,0.9593287437648675,0.9595136933159997
uniform,500,sampled,1650,population_return,0.9598201282231393,0.9597285123626096,0.9599117440836691
uniform,500,sampled,1660,population_return,0.9602140125092923,0.9601241552352803,0.9603038697833043
uniform,500,sampled,1670,population_return,0.960598906613065,0.9605108937077343,0.9606869195183957
uniform,500,sampled,1680,population_return,0.960979938444197,0.960893338480698,0.9610665384076961
uniform,500,sampled,1690,population_return,0.961347244818326,0.9612620618461912,0.9614324277904608
uniform,500,sampled,1700,population_return,0.96170429627158,0.961620284811254,0.9617883077319062
uniform,500,sampled,1710,population_return,0.9620618140455219,0.9619782091650348,0.962145418926009
uniform,500,sampled,1720,population_return,0.9624114486854424,0.9623285931800162,0.9624943041908686
uniform,500,sampled,1730,population_return,0.9627568053092719,0.9626742973463599,0.9628393132721839
uniform,500,sampled,1740,population_return,0.9630966268406289,0.9630153222124843,0.9631779314687735
uniform,500,sampled,1750,population_return,0.9634298954809333,0.9633496437678961,0.9635101471939704
uniform,500,sampled,1760,population_return,0.9637523423837958,0.9636735277052683,0.9638311570623234
uniform,500,sampled,1770,population_return,0.9640777178790088,0.9639991267140887,0.9641563090439288
uniform,500,sampled,1780,population_return,0.9643939327808482,0.9643158244792347,0.9644720410824617
uniform,500,sampled,1790,population_return,0.9647029925400116,0.9646261215769167,0.9647798635031064
uniform,500,sampled,1800,population_return,0.9650083519913905,0.9649326252361655,0.9650840787466154
uniform,500,sampled,1810,population_return,0.9653067155694918,0.9652323076496861,0.9653811234892974
uniform,500,sampled,1820,population_return,0.9656035277508068,0.9655302365835415,0.9656768189180721
uniform,500,sampled,1830,population_return,0.9658917295869898,0.9658196153925813,0.9659638437813982
uniform,500,sampled,1840,population_return,0.9661774280623767,0.9661064496203665,0.9662484065043869
uniform,500,sampled,1850,population_return,0.9664621089660741,0.966393187133949,0.9665310307981992
uniform,500,sampled,1860,population_return,0.9667338929989608,0.9666675356940766,0.9668002503038451
uniform,500,sampled,1870,population_return,0.9670061541211197,0.9669413487088084,0.9670709595334309
uniform,500,sampled,1880,population_return,0.9672728117069631,0.9672081389379861,0.9673374844759401
uniform,500,sampled,1890,population_return,0.9675377940433715,0.9674735187690533,0.9676020693176897
uniform,500,sampled,1900,population_return,0.9677970145501557,0.9677346618729646,0.9678593672273467
uniform,500,sampled,1910,population_return,0.9680459720855994,0.9679836687791896,0.9681082753920092
uniform,500,sampled,1920,population_return,0.9682982699973591,0.9682355067188257,0.9683610332758925
uniform,500,sampled,1930,population_return,0.968545638711749,0.968484181268696,0.9686070961548021
uniform,500,sampled,1940,population_return,0.968794238920703,0.9687330127219642,0.9688554651194419
uniform,500,sampled,1950,population_return,0.9690358242018661,0.9689752064973436,0.9690964419063886
uniform,500,sampled,1960,population_return,0.96927532538373,0.9692159298530982,0.9693347209143617
uniform,500,sampled,1970,population_return,0.9695083957575714,0.9694496610576593,0.9695671304574836
uniform,500,sampled,1980,population_return,0.969737019456894,0.9696783047350083,0.9697957341787796
