beta,seed,update,mean_batch_return,numerical_rank,effective_rank,components_90,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,log10_positive_condition_number,full_condition_number,log10_full_condition_number,trace,logdet_margin
2e-06,101,116,82.89040551587205,16,2.2914204405175846,2,2.7622893054411843e-09,269.385699123932,97522623207.24098,10.98910537461512,97522623207.24098,10.98910537461512,420.4401868945333,-105.24187545147859
2e-06,101,117,76.55058041159164,16,2.4432728028714132,2,3.3135724246214637e-09,211.48602604737928,63824174922.48991,10.804985209235381,63824174922.48991,10.804985209235381,357.3044628040095,-104.83290560801564
2e-06,101,118,64.36835199849313,16,2.258319809524632,2,3.6872296142916968e-09,269.0487226176085,72967715808.84901,10.863130751252813,72967715808.84901,10.863130751252813,405.16891376119145,-103.4571776991786
2e-06,101,119,71.55844550134769,16,2.3234752223056288,2,4.032885900389275e-09,230.14310120513392,57066603640.564026,10.756382025973627,57066603640.564026,10.756382025973627,354.4460559200264,-103.09360203544767
2e-06,101,120,66.08508899540631,16,2.290275211601916,2,5.717794496655638e-09,276.6524334686069,48384466008.777,10.684705952356822,48384466008.777,10.684705952356822,434.43848183016297,-100.90013578390969
2e-06,101,121,77.025191057201,16,2.291267290914797,2,4.621307180398678e-09,255.05135750986082,55190306022.43101,10.741862802173339,55190306022.43101,10.741862802173339,387.2267706602742,-101.14330054342186
2e-06,101,122,80.45361867480688,16,2.3456182108682597,2,5.128303366858291e-09,240.31247781053852,46860035497.034004,10.670802613244302,46860035497.034004,10.670802613244302,375.37117990247816,-101.2420861200433
2e-06,101,123,81.19357505806414,16,2.1703109191508196,2,4.890048442502189e-09,297.0540825929437,60746654370.75794,10.78352236410855,60746654370.75794,10.78352236410855,414.84993614836344,-100.85305343853604
2e-06,101,124,79.59752489196839,16,2.123931112537705,2,4.264275419365479e-09,322.1938827603401,75556536826.19832,10.878272043588856,75556536826.19832,10.878272043588856,438.5983314053526,-99.05416708716882
2e-06,101,125,84.2405600550198,16,2.1510326623919744,2,7.23996129901289e-09,336.28524863229137,46448487048.97651,10.666971572431233,46448487048.97651,10.666971572431233,473.6961683743079,-97.23289482276101
2e-06,101,126,83.9087063490908,16,2.1837766081438916,2,9.447338780892441e-09,313.97330428584314,33234047340.491764,10.521583234164849,33234047340.491764,10.521583234164849,437.05500453409195,-95.8570026751913
2e-06,101,127,79.01508361754225,16,2.249582558066363,2,7.96571111559264e-09,314.7084112044853,39507886570.033035,10.596683798207849,39507886570.033035,10.596683798207849,461.42242740251055,-95.04560591589785
2e-06,101,128,82.20681916957975,16,2.183831770822443,2,1.0437759371314741e-08,348.7658832962034,33413865072.870792,10.523926714570583,33413865072.870792,10.523926714570583,500.7310726132922,-95.09294409725423
2e-06,101,129,80.44572723621823,16,2.254562935246221,2,1.0332629856686046e-08,338.26823171273156,32737864067.95988,10.515050341118721,32737864067.95988,10.515050341118721,491.48197217618474,-93.73562832861867
2e-06,101,130,77.50426796373641,16,2.0666708879490834,2,1.111961683227431e-08,390.34623289136186,35104288104.460144,10.545360170208195,35104288104.460144,10.545360170208195,517.5499808064659,-94.62196398331704
2e-06,101,131,79.39747704327047,16,2.2842514982130253,2,1.004502981732752e-08,327.5473484707249,32607902059.754055,10.513322857892689,32607902059.754055,10.513322857892689,472.6035579868532,-92.6908882065259
2e-06,101,132,78.8894165300221,16,2.053752715973698,2,7.978487324795991e-09,361.47334801976825,45306000160.75241,10.65615572219261,45306000160.75241,10.65615572219261,479.54741299241005,-94.88317485226193
2e-06,101,133,82.91719885325307,16,2.299285460073199,2,1.0197047252387458e-08,323.5218072636702,31727008736.56571,10.50142912818483,31727008736.56571,10.50142912818483,474.12459333572303,-93.38517512999684
2e-06,101,134,84.28878810886471,16,2.0149651781037092,2,1.2638179172723133e-08,411.3772205123487,32550355149.27818,10.512555731415127,32550355149.27818,10.512555731415127,535.0830092652407,-93.18951621155452
2e-06,101,135,76.7714246962895,16,1.9958342362168768,2,1.5140286190533428e-08,455.7632504653383,30102683973.722206,10.478605219281924,30102683973.722206,10.478605219281924,590.5017576071207,-91.77966857308658
2e-06,101,136,81.64068530381208,16,2.019861792872131,2,1.4041878857815707e-08,388.55881467740704,27671426210.96858,10.442031543658166,27671426210.96858,10.442031543658166,506.6723491250526,-92.27327299623622
2e-06,101,137,80.85083259461962,16,2.173837251831423,2,2.168006930775852e-08,347.94726625244164,16049176841.326967,10.205452762445741,16049176841.326967,10.205452762445741,478.2609512381189,-89.71591233704802
2e-06,101,138,83.82829448889854,16,2.042673096521446,2,2.1429842580580857e-08,387.4419780729677,18079553156.59001,10.257187692509623,18079553156.59001,10.257187692509623,500.61025684202525,-89.48314160848754
2e-06,101,139,86.07002864622751,16,2.185878927058393,2,1.8890544631043993e-08,368.098236045338,19485845603.435886,10.289719257084707,19485845603.435886,10.289719257084707,508.47209583267227,-89.86844511616738
2e-06,101,140,84.49056275490156,16,2.124279621099391,2,1.8451047771126592e-08,351.0086630902067,19023779432.162548,10.279296801953443,19023779432.162548,10.279296801953443,462.74548740256614,-88.98385458914981
2e-06,101,141,84.26464212395504,16,2.0761606138879003,2,1.8934826988290952e-08,404.6580632433694,21371099059.611404,10.329826857365322,21371099059.611404,10.329826857365322,529.5302089301139,-89.42243138784568
2e-06,101,142,84.24535222761054,16,2.0126519123046265,2,2.8055021290661128e-08,436.9596224984285,15575095023.858788,10.192430704975614,15575095023.858788,10.192430704975614,561.7621548300677,-88.63303056046749
2e-06,101,143,84.75509829555364,16,1.862297842328931,2,2.967986794082933e-08,506.9457046323631,17080456882.18779,10.232499483376362,17080456882.18779,10.232499483376362,622.4181179160051,-87.37709289279084
2e-06,101,144,85.21824733647358,16,2.0358111494152458,2,3.8006450146956703e-08,422.0278242179942,11104110554.555101,10.045483777047579,11104110554.555101,10.045483777047579,542.6926546870616,-86.99528442562993
2e-06,101,145,81.10021867481808,16,1.9786070276751113,2,3.075690606469558e-08,468.23229547483186,15223647479.038664,10.182518718810176,15223647479.038664,10.182518718810176,593.1077485553839,-87.18079663179765
2e-06,101,146,85.893691151449,16,1.9736658460593668,2,3.802397414242988e-08,449.6023637995853,11824181294.555601,10.072771079932812,11824181294.555601,10.072771079932812,567.1927561651553,-86.28308788336302
2e-06,101,147,86.66262973419487,16,1.923304802200796,2,3.8650095017571784e-08,491.9570660348363,12728482706.47651,10.104776636844687,12728482706.47651,10.104776636844687,610.5285466803695,-85.6742204087676
2e-06,101,148,86.67045055404849,16,1.8622156228927569,2,3.3588848152934646e-08,559.7210002849965,16663893853.5942,10.22177649056036,16663893853.5942,10.22177649056036,687.1639799654,-85.33212650712859
2e-06,101,149,85.89654312080772,16,1.8900583204570969,2,5.644269212127014e-08,501.68389937914617,8888376520.050665,9.948822443448208,8888376520.050665,9.948822443448208,618.8411224417222,-85.61678485152669
2e-06,101,150,85.51917068829516,16,1.9009143908299653,2,5.1309172006237645e-08,507.20182408152493,9885207736.734955,9.99498580040434,9885207736.734955,9.99498580040434,623.9967036119323,-85.2305358923517
2e-06,101,151,82.39742578016401,16,1.9222038428636306,2,5.6780062520337994e-08,538.3863085524823,9481960474.411917,9.97689814062852,9481960474.411917,9.97689814062852,667.5081958730138,-83.56918908515502
2e-06,101,152,86.41514869459931,16,1.9218344941054981,2,3.474963757566285e-08,570.7374018803771,16424269192.381361,10.215486054470654,16424269192.381361,10.215486054470654,709.2653436842971,-85.35052284656206
2e-06,101,153,87.0066338894172,16,1.9043792653930196,2,4.673418108061721e-08,507.3772408642177,10856662706.659689,10.035696345434758,10856662706.659689,10.035696345434758,625.4559013832825,-85.00431485944114
2e-06,101,154,85.9798901935487,16,1.8551340218200933,2,5.582228755784354e-08,574.7301332182678,10295710877.536636,10.012656338281193,10295710877.536636,10.012656338281193,698.2359450426541,-82.96911474114414
2e-06,101,155,86.41454536228281,16,1.8012515059815712,2,4.76263361198413e-08,593.3479376319467,12458399826.073454,10.09546226452745,12458399826.073454,10.09546226452745,709.2469994775175,-83.74710273618831
2e-06,101,156,86.58847237975348,16,1.918724766672095,2,5.597204244655311e-08,516.9562062513423,9235971811.194424,9.965482598751267,9235971811.194424,9.965482598751267,640.617910341436,-83.74971045590944
2e-06,101,157,86.45865344728882,16,1.9374751579562268,2,5.068192395127397e-08,525.3254297686024,10365143799.07232,10.015575331582838,10365143799.07232,10.015575331582838,652.2790750262449,-84.32351865768977
2e-06,101,158,86.14647318019118,16,1.9462873589710918,2,4.900133902195678e-08,550.4424720666561,11233212868.326128,10.050503988801372,11233212868.326128,10.050503988801372,690.7240118222578,-84.18089065283345
2e-06,101,159,86.58023217190572,16,1.8273797707456405,2,5.8355963109655914e-08,685.0939815934241,11739913885.168396,10.069664911278432,11739913885.168396,10.069664911278432,829.0217987253828,-82.84163831305474
2e-06,101,160,86.09749238067214,16,1.9209556077384022,2,5.845370549581359e-08,584.1231386892731,9992918904.535616,9.999692362998191,9992918904.535616,9.999692362998191,720.3984498559463,-83.05152045096214
2e-06,101,161,85.5544372716081,16,1.870915602866191,2,5.6015908207279875e-08,609.038499080624,10872598848.651226,10.036333364760333,10872598848.651226,10.036333364760333,742.3644024630343,-83.3721413544037
2e-06,101,162,87.69698573185579,16,1.9224143849021809,2,6.195528256435589e-08,572.2817092069839,9237012334.057678,9.965531523530798,9237012334.057678,9.965531523530798,705.6123982040115,-81.53503167360165
2e-06,101,163,86.48466571913971,16,1.7694845727441446,2,4.878425178625426e-08,658.3095141415765,13494303797.584648,10.13015048321141,13494303797.584648,10.13015048321141,779.5181667240627,-83.15092620552491
