seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
103,reward_only,0.003,0.0,0.97,8,True,True,0.25,200,32,256535,-26.031416909915514,-30.504862758834165,-534.1872518010377,
103,log_barrier,0.003,2.0,0.97,8,True,True,0.05,200,32,226646,-20.612150786489913,-8.164548321763455,-311.7618574072764,0.20157867074012756
103,log_barrier,0.003,2.0,0.97,8,True,True,0.1,200,32,256216,-24.597764365825547,-23.266860747061433,-433.6800713482202,0.20597440525889396
103,log_barrier,0.003,2.0,0.97,8,True,True,0.25,200,32,306298,-19.45864799115794,3.742769890848459,-374.0353043756018,0.2139212131500244
103,log_barrier,0.003,5.0,0.97,8,True,True,0.05,200,32,233162,-45.03719293422115,-22.287652854703225,-582.9083364479195,0.20317665189504625
103,log_barrier,0.003,5.0,0.97,8,True,True,0.1,200,32,219997,-61.92325163941365,-31.23371749369285,-343.5106690678769,0.21022565588355063
103,log_barrier,0.003,5.0,0.97,8,True,True,0.25,200,32,190750,-76.26438032830177,-68.15805421015949,-595.2026498242817,0.22162518352270127
103,log_barrier,0.003,10.0,0.97,8,True,True,0.05,200,32,256844,-15.6408425811717,-19.465184774812137,-493.8065402074685,0.2053196147084236
103,log_barrier,0.003,10.0,0.97,8,True,True,0.1,200,32,205042,-50.45566497747182,-28.21569657192103,-658.6113956853438,0.21235596165060996
103,log_barrier,0.003,10.0,0.97,8,True,True,0.25,200,32,243980,-67.38120550849084,-57.814810065421675,-431.57013719228996,0.2204003095626831
103,log_barrier,0.003,20.0,0.97,8,True,True,0.05,200,32,247715,-28.429391396755598,-11.550710532575776,-345.7644141138778,0.20698865056037902
103,log_barrier,0.003,20.0,0.97,8,True,True,0.1,200,32,252895,-24.922166224865265,-15.549634652863272,-426.43621450479634,0.21502906680107117
103,log_barrier,0.003,20.0,0.97,8,True,True,0.25,200,32,224248,-53.892499819480996,-38.65303088149655,-582.3262166003342,0.23264238014817237
103,log_barrier,0.003,40.0,0.97,8,True,True,0.05,200,32,215375,-35.49806689800895,-11.168761502194522,-537.2865562091085,0.21067413240671157
103,log_barrier,0.003,40.0,0.97,8,True,True,0.1,200,32,210980,-42.36993910307591,-63.663985674132704,-666.4198443682321,0.21806593537330626
103,log_barrier,0.003,40.0,0.97,8,True,True,0.25,200,32,209957,-63.27325832707827,-22.753070030106173,-635.4058040601544,0.2375544622540474
103,log_barrier,0.003,100.0,0.97,8,True,True,0.1,200,32,192404,-54.072435745759094,-38.084555887473435,-770.794228437334,0.21881598383188247
103,log_barrier,0.003,100.0,0.97,8,True,True,0.25,200,32,198516,-64.87275555035984,-75.26030829766745,-679.3113602072843,0.2407657153904438
103,log_barrier,0.003,100.0,0.97,8,True,True,0.5,200,32,168022,-92.83139439298837,-70.50532096030204,-1167.1915462143538,0.23559603467583656
103,log_barrier,0.003,200.0,0.97,8,True,True,0.1,200,32,171906,-77.52258012259239,-60.92205175412206,-2098.6843917725437,0.21755718365311622
103,log_barrier,0.003,200.0,0.97,8,True,True,0.25,200,32,167566,-75.09701869785748,-46.36301991330066,-930.4941304965314,0.24111470207571983
103,log_barrier,0.003,200.0,0.97,8,True,True,0.5,200,32,159072,-111.22098570107835,-81.97132197453953,-1208.636543090309,0.24089216962456703
103,log_barrier,0.003,400.0,0.97,8,True,True,0.1,200,32,154506,-100.15856158977547,-82.45473954855942,-1346.3611725635355,0.2174364909529686
103,log_barrier,0.003,400.0,0.97,8,True,True,0.25,200,32,155193,-123.18311822955471,-85.083621727768,-1109.2106384799781,0.24265844076871873
103,log_barrier,0.003,400.0,0.97,8,True,True,0.5,200,32,150022,-124.64590082831144,-103.85336538945583,-1454.3854444239419,0.24496195390820502
103,log_barrier,0.003,800.0,0.97,8,True,True,0.1,200,32,149028,-119.01229535286916,-89.79616893575457,-2364.5404027172153,0.2167363226413727
103,log_barrier,0.003,800.0,0.97,8,True,True,0.25,200,32,148830,-131.3427726390674,-109.84890890782476,-741.0021887326319,0.2431557707488537
103,log_barrier,0.003,800.0,0.97,8,True,True,0.5,200,32,148077,-145.85492531963234,-119.51839252353221,-246.4290809699877,0.24636549428105353
103,reward_only,0.003,0.0,0.99,4,True,False,0.25,200,32,70325,-119.59469907730866,-99.76965431248212,-129.14593039737377,
103,reward_only,0.003,0.0,0.99,4,True,True,0.25,200,32,78484,-84.97685744232788,-67.0292195762336,-1230.8106700195158,
103,reward_only,0.003,0.0,0.99,8,True,False,0.25,200,32,154977,-62.75751895461053,-48.33656332551861,-777.6774763572857,
103,reward_only,0.003,0.0,0.99,8,True,True,0.25,200,32,173630,-42.52110177521103,-27.134827812331967,-451.019524301396,
104,reward_only,0.001,0.0,0.97,4,True,False,0.25,200,32,77091,-149.12096358569403,-160.74841815889687,-98.74386395926699,
104,reward_only,0.001,0.0,0.97,4,True,True,0.25,200,32,76859,-173.6310421930966,-154.0216481668528,-377.33958364274224,
104,reward_only,0.001,0.0,0.97,8,True,False,0.25,200,32,158782,-159.74230906512085,-161.84875339739267,-245.11905051340767,
104,reward_only,0.001,0.0,0.97,8,True,True,0.25,200,32,160327,-159.9467811857564,-140.29661277795023,-304.1365346911404,
104,reward_only,0.001,0.0,0.99,4,True,True,0.25,200,32,76357,-170.77352966178995,-165.11288150955608,-95.49201073573805,
104,reward_only,0.001,0.0,0.99,4,True,False,0.25,200,32,75433,-145.34419448819264,-133.62943233337268,-130.6628558074383,
104,reward_only,0.001,0.0,0.99,8,True,False,0.25,200,32,151293,-135.9510629254924,-126.82430751316747,-130.6628558074383,
104,reward_only,0.001,0.0,0.99,8,True,True,0.25,200,32,153671,-151.6784705325912,-137.23023727132346,-101.7690733880168,
104,reward_only,0.003,0.0,0.97,4,True,False,0.25,200,32,88973,-115.92810950870046,-91.03838705944943,-422.3681070955287,
104,reward_only,0.003,0.0,0.97,4,True,True,0.25,200,32,90356,-123.35511750210173,-81.61169216453283,-449.7929211436355,
