experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,complete_weighted_oracle,adverse,4,0.1,population_return,-0.10139808126723385,-0.10297758521365621,-0.09981857732081148,100
main,complete_weighted_oracle,adverse,4,0.1,q,0.23657241086471728,0.23151129902304207,0.2416335227063925,100
main,complete_weighted_oracle,adverse,4,0.1,pi1_a0,0.231273653228791,0.22019472102569138,0.24235258543189064,100
main,uniform_action_oracle,adverse,4,0.1,population_return,0.07807278518078146,0.06747867776439542,0.08866689259716751,100
main,uniform_action_oracle,adverse,4,0.1,q,0.5290716104889102,0.5086170143563236,0.5495262066214968,100
main,uniform_action_oracle,adverse,4,0.1,pi1_a0,0.677676120339424,0.6660855999882177,0.6892666406906304,100
main,visitation_only_oracle,adverse,4,0.1,population_return,-0.07216542371425154,-0.0727025393419299,-0.07162830808657318,100
main,visitation_only_oracle,adverse,4,0.1,q,0.19141749384217185,0.1898709286717939,0.19296405901254982,100
main,visitation_only_oracle,adverse,4,0.1,pi1_a0,0.001259535045654954,0.0009232749051930602,0.0015957951861168477,100
main,full_pooled_fisher_oracle,adverse,4,0.1,population_return,0.29448325677220116,0.2929996958438196,0.29596681770058275,100
main,full_pooled_fisher_oracle,adverse,4,0.1,q,0.8284310359600947,0.8262844958773461,0.8305775760428433,100
main,full_pooled_fisher_oracle,adverse,4,0.1,pi1_a0,0.850276995583089,0.8494611724675777,0.8510928186986003,100
main,detached_conditional_sampled,adverse,4,0.1,population_return,-0.09900344110571498,-0.1008011151694381,-0.09720576704199185,100
main,detached_conditional_sampled,adverse,4,0.1,q,0.2375958903048874,0.23296395132905567,0.24222782928071912,100
main,detached_conditional_sampled,adverse,4,0.1,pi1_a0,0.23772059396318773,0.22588902590714285,0.2495521620192326,100
main,detached_conditional_oracle,adverse,4,0.2,population_return,0.10452365811546871,0.10182425120137689,0.10722306502956053,100
main,detached_conditional_oracle,adverse,4,0.2,q,0.5976762347900664,0.5926996297215045,0.6026528398586283,100
main,detached_conditional_oracle,adverse,4,0.2,pi1_a0,0.7331428842942508,0.731192895695392,0.7350928728931095,100
main,complete_weighted_oracle,adverse,4,0.2,population_return,0.08082748765261216,0.07790134821829049,0.08375362708693383,100
main,complete_weighted_oracle,adverse,4,0.2,q,0.551908582999443,0.5461943880111577,0.5576227779877283,100
main,complete_weighted_oracle,adverse,4,0.2,pi1_a0,0.7223633985332121,0.7201219492780923,0.7246048477883319,100
main,uniform_action_oracle,adverse,4,0.2,population_return,0.0953257656926125,0.09211499447395527,0.09853653691126973,100
main,uniform_action_oracle,adverse,4,0.2,q,0.6209727173916368,0.6154030413950927,0.626542393388181,100
main,uniform_action_oracle,adverse,4,0.2,pi1_a0,0.6863603361852627,0.6833270944424472,0.6893935779280782,100
main,visitation_only_oracle,adverse,4,0.2,population_return,-0.11067212294119282,-0.11144477064125685,-0.10989947524112878,100
main,visitation_only_oracle,adverse,4,0.2,q,0.3225918017788066,0.3200871525312821,0.32509645102633106,100
main,visitation_only_oracle,adverse,4,0.2,pi1_a0,0.004064651908771264,0.003268604319375923,0.004860699498166605,100
main,full_pooled_fisher_oracle,adverse,4,0.2,population_return,0.13129315589742596,0.12896325847440349,0.13362305332044844,100
main,full_pooled_fisher_oracle,adverse,4,0.2,q,0.6772802938067264,0.6733671246839696,0.6811934629294831,100
main,full_pooled_fisher_oracle,adverse,4,0.2,pi1_a0,0.7126978436718012,0.7106866683028688,0.7147090190407337,100
main,detached_conditional_sampled,adverse,4,0.2,population_return,0.10415206195516026,0.10153767640016943,0.10676644751015109,100
main,detached_conditional_sampled,adverse,4,0.2,q,0.5923668724408515,0.5871878041514406,0.5975459407302625,100
main,detached_conditional_sampled,adverse,4,0.2,pi1_a0,0.7387334909196572,0.7369988897669071,0.7404680920724074,100
main,detached_conditional_oracle,adverse,32,0.01,population_return,-0.01345209438525468,-0.013473524001462537,-0.013430664769046823,100
main,detached_conditional_oracle,adverse,32,0.01,q,0.008301039749646737,0.008279153828130239,0.008322925671163234,100
main,detached_conditional_oracle,adverse,32,0.01,pi1_a0,0.0004240476921805627,0.0003900707414915364,0.00045802464286958896,100
main,complete_weighted_oracle,adverse,32,0.01,population_return,-0.013565618086957512,-0.013586130594188905,-0.01354510557972612,100
main,complete_weighted_oracle,adverse,32,0.01,q,0.008433380535096872,0.008412088344669314,0.00845467272552443,100
main,complete_weighted_oracle,adverse,32,0.01,pi1_a0,0.0004248527075983526,0.00039109557495018284,0.0004586098402465224,100
main,uniform_action_oracle,adverse,32,0.01,population_return,-0.005996748171601323,-0.006010757374450062,-0.005982738968752584,100
main,uniform_action_oracle,adverse,32,0.01,q,0.0029401673940315583,0.002929476181072932,0.0029508586069901845,100
main,uniform_action_oracle,adverse,32,0.01,pi1_a0,0.02887216144377299,0.028797755658795342,0.02894656722875064,100
main,visitation_only_oracle,adverse,32,0.01,population_return,-0.006497577785930876,-0.006512737553785031,-0.006482418018076721,100
main,visitation_only_oracle,adverse,32,0.01,q,0.005516387285354527,0.005501130766608107,0.005531643804100947,100
main,visitation_only_oracle,adverse,32,0.01,pi1_a0,3.6779287924141555e-05,3.8736513066467326e-06,6.968492454163637e-05,100
main,full_pooled_fisher_oracle,adverse,32,0.01,population_return,-0.014285253779767169,-0.014313744281690688,-0.01425676327784365,100
main,full_pooled_fisher_oracle,adverse,32,0.01,q,0.01317614048629175,0.013136855236615615,0.013215425735967883,100
main,full_pooled_fisher_oracle,adverse,32,0.01,pi1_a0,0.029320084777223535,0.029220556302463445,0.029419613251983626,100
main,detached_conditional_sampled,adverse,32,0.01,population_return,-0.013455424358693346,-0.013475601611598987,-0.013435247105787706,100
main,detached_conditional_sampled,adverse,32,0.01,q,0.008303400201387928,0.008282533662345788,0.008324266740430068,100
