Update 0204/1200 | return 28.6618 | logdet -229.56 | lambda_min 4.931e-08 | 10.4s
Update 0205/1200 | return 29.2628 | logdet -236.06 | lambda_min 8.077e-08 | 10.3s
Update 0206/1200 | return 28.9911 | logdet -233.29 | lambda_min 8.740e-08 | 10.1s
Update 0207/1200 | return 29.1591 | logdet -246.38 | lambda_min 4.875e-08 | 9.9s
Update 0208/1200 | return 29.1147 | logdet -233.17 | lambda_min 7.139e-08 | 10.3s
Update 0209/1200 | return 28.9025 | logdet -228.87 | lambda_min 9.286e-08 | 10.6s
Update 0210/1200 | return 28.9976 | logdet -234.66 | lambda_min 7.483e-08 | 10.2s
Update 0211/1200 | return 29.1972 | logdet -233.03 | lambda_min 6.261e-08 | 10.1s
Update 0212/1200 | return 28.8829 | logdet -228.13 | lambda_min 7.817e-08 | 10.3s
Update 0213/1200 | return 28.7376 | logdet -225.74 | lambda_min 1.093e-07 | 10.2s
Update 0214/1200 | return 29.0361 | logdet -236.31 | lambda_min 7.527e-08 | 10.1s
Update 0215/1200 | return 29.2680 | logdet -227.33 | lambda_min 1.028e-07 | 10.2s
Update 0216/1200 | return 28.6106 | logdet -231.01 | lambda_min 1.070e-07 | 10.1s
Update 0217/1200 | return 28.7805 | logdet -230.64 | lambda_min 9.238e-08 | 10.4s
Update 0218/1200 | return 29.2337 | logdet -228.60 | lambda_min 8.715e-08 | 10.4s
Update 0219/1200 | return 29.1036 | logdet -236.10 | lambda_min 5.603e-08 | 10.2s
Update 0220/1200 | return 29.6367 | logdet -229.42 | lambda_min 9.558e-08 | 10.3s
Update 0221/1200 | return 28.8947 | logdet -229.10 | lambda_min 9.266e-08 | 10.4s
Update 0222/1200 | return 28.9477 | logdet -231.78 | lambda_min 8.885e-08 | 10.4s
Update 0223/1200 | return 29.2689 | logdet -230.26 | lambda_min 1.169e-07 | 10.3s
Update 0224/1200 | return 29.1495 | logdet -237.82 | lambda_min 5.425e-08 | 10.1s
Update 0225/1200 | return 28.7842 | logdet -229.26 | lambda_min 1.195e-07 | 10.2s
Update 0226/1200 | return 29.5198 | logdet -238.50 | lambda_min 5.853e-08 | 9.9s
Update 0227/1200 | return 28.8467 | logdet -223.98 | lambda_min 1.328e-07 | 10.4s
Update 0228/1200 | return 28.6646 | logdet -230.58 | lambda_min 7.961e-08 | 10.4s
